id,en,zh,info,info_zh
407,Balorite,巴爾羅靈石,A golden material useful in upgrading powerful equipment.,用來升級強力裝備的金色原石.
408,Stone Pendant,石頭吊飾,A pendant often worn against the mighty cockatrice. It protects its wearer from petrification.,常被用來對抗雞蛇的吊飾.戴上它能防止被石化.
409,High Draconian Robe,高等德肯尼亞族長袍,A robe of a Draconian mage.,德肯尼亞族法師長袍。
410,High Fomorian Hood,高級弗摩爾族兜帽,A hood worn by Fomorian mages.,弗摩爾族法師所穿戴的兜帽。
411,High Fomorian Leggings,高級弗摩爾族腿甲,Leg armor worn by Fomorian warriors.,弗摩爾族戰士穿的腿甲.
412,High Fomorian Armor,高級弗摩爾族盔甲,Heavy armor worn by Fomorian warriors.,弗摩爾族戰士穿的重裝甲.
413,High Fomorian Robe,高級弗摩爾族長袍,A robe worn by Fomorian mages.,弗摩爾族法師所穿的法袍.
414,High Draconian Garb,高等德肯尼亞族皮甲,Body coverings of a Draconian rogue.,德肯尼亞族俠盜罩衫。
415,High Draconian Armor,高等德肯尼亞族盔甲,Armor of a Draconian warrior.,德肯尼亞族戰士盔甲。
416,High Draconian Cowl,高等德肯尼亞族風帽,A cowl of a Draconian rogue.,德肯尼亞族俠盜風帽。
417,High Draconian Hood,高等德肯尼亞族兜帽,A hood of a Draconian mage,
418,Crystal Halberd,水晶戟,A crystalline polearm carried by the most enlightened of travelers. It is well suited for adornment.,被啟蒙的旅行者所持的水晶長棍.很適合鑲嵌裝飾品.
419,High Fomorian Sword,高等弗摩爾族之劍,A sword of a Fomorian warrior.,弗摩爾族戰士的劍.
420,High Fomorian Staff,高級弗摩爾族法杖,A staff of a Fomorian mage.,弗摩爾族法師的法杖.
421,Orichalcum Helmet,奧利哈鋼頭盔,A helmet made of solid orichalcum.,奧利哈鋼所製成的頭盔。
422,Orichalcum Armor,奧利哈鋼盔甲,Armor made of solid orichalcum.,堅硬的奧利哈鋼製成的盔甲。
423,Orichalcum Leggings,奧利哈鋼腿甲,Leg armor made of solid orichalcum.,用堅固的奧利哈鋼打造的腿甲.
424,Orichalcum,奧利哈鋼,A solid chunk of orichalcum. Useful in upgrading hardened equipment.,堅固的奧利哈鋼礦石.能用來強化堅固的裝備.
425,Fomor Staff,弗摩爾法杖,"A mystical staff of an elite Fomorian mage. Those who wield it cannot be burned, frozen, or paralyzed.",菁英弗摩爾族法師所持有的神祕法杖，它可以讓持有者免疫燃燒、冰凍或麻痺。
426,Spirit of the Wood,木之靈,Ceremonial sword of a great woodland elf. It may poison an opponent.,高等林地精靈的彎刀.有機會使對手中毒.
427,Gargouille's Dagger,石像鬼的匕首,"A dagger, once a fixture upon a noble statue. It has a small chance of petrifying an opponent.",曾經固定在高貴的雕像上的匕首.有小機率使對手石化.
428,Dune Blade,沙丘之刃,A rare scimitar of the sands. Slightly increases gold earned.,稀有的沙之彎刀。稍微增加賺取的金幣。
429,Axe of Typhon,堤豐的斧,"A powerful axe forged of the remains of Typhon, the great ancient dragon.",使用遠古巨龍堤豐的遺骸精心打造的強力大斧.
430,Dokkalfar Gada,暗之精靈金剛杵,"A huge mace, favoured by esteemed Dokkalfar warriors. Has a very high chance of stunning an opponent.",
431,Fomor Katana,弗摩爾武士刀,Katana of elite Fomorian rogues. It has a good chance of causing an opponent to bleed.,弗摩爾族精銳盜賊的武士刀.有高機率使對手流血.
432,Fomor Sword,弗摩爾劍,A sturdy sword of an elite Fomorian warrior. One who wields it cannot have their attack power compromised.,弗摩爾族精銳戰士的劍.使用它的人攻擊力不會受到減損.
433,Crystalis,水晶劍,A ceremonial sword of enlightened royalty. It can protect one from having their stats lowered and is well-suited for adornment.,
434,Bow of Typhon,堤豐之弓,"A superb bow forged by the remains of Typhon, the great ancient dragon.",
435,Staff of Typhon,堤豐法杖,"A superb staff forged by the remains of Typhon, the great ancient dragon.",
436,Crystal Staff,水晶法杖,A magical crystalline staff carried by the most enlightened travelers. It is well suited for adornment.,歷經風霜的冒險者們都想來一把水晶棒，它的美是如此的無與倫比。
437,High Draconian Leggings,高等德肯尼亞族腿甲,Armor of a Draconian warrior.,德肯尼亞族戰士盔甲。
438,Shadow Boots,影子長靴,Dark armor of elite Balor rogues.,精銳巴羅爾暴徒的暗黑盔甲.
439,Shadow Hood,影之兜帽,Dark armor of elite Balor rogues.,精銳巴羅爾暴徒的暗黑盔甲.
440,Witch's Archistaff,女巫的權杖,"Old, decrepit, dark archistaff of a powerful witch. Slightly boosts experience earned.",強大女巫又老又破的暗黑權杖。略微提升了獲得的經驗。
441,High Draconian Boots,高等德肯尼亞族長靴,Boots of a Draconian rogue.,德肯尼亞族俠盜長靴。
442,Dalan's Robe,達藍長袍,"Crimson robe of Dalan, the exalted High Elf.",高級精靈達藍的緋紅法袍.
443,Horus's Robe,荷魯斯的法袍,"Ivory robe of Horus, the winged protector of the skies.  What it lacks in defensive power is made up with dexterity.",
444,Hermes' Coin Purse,愛馬仕的錢包,"A bag for coins, carried by Hermes the merchant. Slightly raises gold earned.",商人愛馬仕的零錢包.能稍微提升獲得的金錢.
445,Cure-all,百寶丹,"A bitter green elixir that heals poison, bleeding, blight, frozen, burning, paralysis, sleep, blindness, or rot.",微苦的萬靈藥，能治癒中毒、流血、枯萎、凍結、燃燒、麻痺、入眠、致盲、腐爛。
446,Gauntlet Key,地城鑰匙,One can use this key to enter a Gauntlet.,使用此鑰匙進入地城.
447,Affinity Candle,引怪蠟燭,"When lit, this mysterious candle draws stronger enemies to you for a limited time.",點燃此神秘的蠟燭將在一段時間內引來更強的敵人。
448,Super Elixir,高級秘藥,Recovers 2500 health points and 1000 mana.,回復2500生命值及1000魔力值。
449,Super Health Potion,高級生命藥水,Recovers 2500 health points.,回復2500點生命值.
450,Super Mana Potion,高級魔力藥水,Recovers 2500 mana.,回復2500魔力值。
452,Shadow Katana,影刀,"A thin, pale blade granted to elite Balor warriors.",被授予給巴羅爾戰士的輕薄長劍.
453,Jester's Outfit,小丑衣,Amusing outfit of a court jester. It increases gold earned.,有趣的宮廷小丑服，可以增加獲得的金幣。
454,Berserk Mushroom,狂暴蘑菇,A mushroom of unknown origin. Eating it will cause one to enrage.,來路不明的磨菇.吃下它會讓人震怒.
455,Ra's Cane,拉之手杖,"The trusty cane of Ra, the seer. Ra was obsessed with the senses of humans after losing much of his own. This staff increases your ability to see, while potentially binding your opponent.",
456,Arcane Wand,奧術棍棒,Arcane wand of Annwn court wizards. Arcane magic was found to be particularly effective against the forces of Balor.,安溫皇室巫師的奧樹棒棒.他們發現奧術對巴羅爾的軍隊特別有效.
457,Basilisk Tooth,巴西利斯克之牙,Thin sword forged of Baslisk remains. It has a chance to cause either poison or blight.,
458,Magic Defense Tonic,魔防藥劑,A sour tonic that raises your magic defense in battle.,於戰鬥中提升魔防的酸藥劑。
459,Arisen Bonecrusher,重生碎骨者,"A terribly frightening axe, seemingly forged with the hardened bones of an undead. It has a great chance of stunning an opponent.",一把令人恐懼的斧頭，看似用不死生物的堅硬骨頭鍛造而成。它有很大的機會使對手暈眩。
460,Bandit's Hood,土匪兜帽,Heavy hood made of strong hide. Offers mild protection against the elements.,堅韌皮革製成的重型兜帽，保護穿戴者減免元素傷害。
461,Ithra's Blade,以斯拉之劍,"Thin, cold blade of Ithra, the White Knght.  Ithra established the Frozenguard to combat the Draconian invasion.",
462,Boreal's Staff,波蕾爾之杖,"Chilling staff of Boreal, a Frozenguard elite. It has a high chance of freezing an opponent.",寒霜守衛的菁英，波蕾爾的寒冰法杖，有高機率可以冰凍對手。
463,Ring of Sacrifice,獻祭之戒,"A ring of certain evil. Wearing it attracts stronger monsters to you, but reduces your overall power.",毫無疑問是個邪惡的戒指。佩戴它會吸引更強大的怪物，但會降低你的整體能力。
464,Annwn Shotel,安溫短刀,"A unique curved blade, specifically designed for escaping an opponent's defenses.",一把獨特的彎刀，特別設計來繞過對手的防禦。
465,Balin's Left,巴林左劍,A heavy great sword carried in Sir Balin's left hand. A blow from this blade can lower an opponent's magic power when attacking.,巴林爵士拿在左手的厚重大劍.他的衝擊能降低對手的魔法攻擊力.
466,Crooked Shotel,彎曲短刀,The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This crooked shotel is one of them.,劍術大師芬尼斯因身上背著無數的劍而聞名.這把彎刀正是其中之一.
467,Thor's Hammer,索爾之錘,"Small, yet immensely heavy hammer of Thor.  Thor founded the Stormforce shortly before succumbing to the power of the Falling.  His hammer can easily paralyze an opponent",
468,Excalibur,誓約聖劍,"The mythic weapon of Arthus, the king of Avalon. It protects its wielder from bleeding.",阿瓦隆王國亞瑟王的神兵，它可以保護持有者免疫流血。
469,Gizmo,小玩意,"One of the concotions of Cade, the great inventor. This gizmo prevents one from having their physical or magical prowess lowered.",
470,Cockatrice Mail,雞蛇胸甲,Chestplate forged of the remains of a mighty Cockatrice. It grants its wearer immunity from petrification.,雞蛇遺體製成的胸甲.穿上它能防止被石化.
471,Ashen Hat,蒼白帽子,Pale attire of elite Balor mages.,精英巴羅爾法師的蒼白衣服。
472,Coward's Boots,懦夫長靴,Boots worn by Avalon assassins. Some say the great King Arthus had a secretive hobby.,阿瓦隆刺客穿戴的長靴，謠傳亞瑟王有一些神秘的癖好.
473,Ortanite,歐坦尼,The great blacksmith Creidhne created this alloy to forge the most powerful of weapons.,"由傳說中的鐵匠克雷迪內製造出來的材料,能打造最強力的武器."
474,Paleblade,蒼白之刃,A pale blade often used by the most elite of Balor knights,
475,Gadget,小發明,"One of the concoctions of Cade, the great inventor.  This gadget prevents one from having their defense lowered.",
476,Dudley's Hammer,達利的錘,"A massive dwarven hammer, carried by Dudley the steadfast.",穩重如山的達利所持的大槌.
477,King's Robe,國王的長袍,Format attire of a King.,
478,Coward's Blade,懦夫刀刃,A hooked blade used by Avalon assassins. Some say the great King Arthus had a secretive hobby.,阿瓦隆刺客使用的鉤形刀，謠傳亞瑟王有一些神秘的癖好.
479,Avalon Armor,阿瓦隆盔甲,Heavy armor of Avalon knights.,阿瓦隆騎士的重裝甲.
480,Firepike,火槍,This pike of Pyre is eternally lit. Has a very high chance of causing an opponent to burn.,派磊的長茅永遠點燃著，它有高機率使敵人燃燒。
481,Carl's Dagger,卡爾的匕首,"A simple yet sentimental dagger of the aloof one, Carl.",辣個男人—卡爾的簡單卻有故事的匕首。
482,Aldon's Hat,阿爾登的帽,"The hat of Aldon, the eccentric. Aldon's balance has never faltered, and one cannot be stunned while wearing this hat.","怪人阿爾登的帽子.他平衡感極佳,戴上這帽子將不會暈眩."
483,Pale Leggings,淡白腿甲,Pale armor of elite Balor warriors.,巴羅爾戰士的淡白盔甲。
484,Draconian Amulet,德肯尼亞族護身符,Amulet of Draconian lords. It slightly extends one's health and mana.,德肯尼亞族領主的護身符，少量增加持有者的生命值與魔力值。
485,Artifice Gada,阿提菲斯金剛杵,"The crippling weapon of Knight Artifice, the dragonslayer of Avalon. It can lower an opponent's magical potential.",阿瓦隆的屠龍者-騎士阿提菲斯的武器.可以降低對手的魔法能力.
486,Beatrice's Staff,碧翠絲的法杖,"The staff of the aspiring sorceress, Beatrice.  It slightly boosts its wielder's mana.",
487,Boulderbold,博爾德博德,"Earthen polearm of Boulder, the Earthen Legion elite.  It has a high chance of stunning an opponent.",
488,Carl's Ring,卡爾之戒,"Iron ring of the aloof one, Carl. Slightly raises some stats.",辣個男人—卡爾的戒指，可以稍微增加一些狀態。
489,Gale's Spear,凱爾的長矛,"Spear of Gale, the Stormforce elite. It has a high chance of paralyzing an opponent.",風暴軍團的精英凱爾的茅.有高機率使對手麻痺.
490,Nolan's Staff,諾蘭之杖,"Staff o' the Gnome Master, Nolan. 'Ave one 'ver seen such a wonder?",侏儒大師諾蘭的法杖.有人看過拿~麼讚的東西嗎?
491,Sala's Hood,莎拉的兜帽,"Ivory hood of Sala, the High Elf.",高等精靈莎拉的象牙兜帽。
492,Thieve's Ring,神偷之戒,Lucky ring worn by bandits. Increases gold earned.,土匪的幸運戒指，可以增加獲得的金幣。
493,Fail-not,不敗,"The bow of a long forgotten hero. It is now carried by Rouge, the crimson archer. Surely, one cannot miss a shot with this bow.","被人們遺忘的英雄的弓.現在為緋紅弓手-嫣紅所有.拿著它,你將箭無虛發."
494,Fallen Druid's Staff,墮落德魯伊的法杖,Staff of fallen druid. It greatly increases mana.,
495,High Draconian Sword,高等德肯尼亞族之劍,A sword of a Draconian blacksmith. The quality is quite surprising.,德肯尼亞族鐵匠鑄造之劍，品質令人讚嘆。
496,High Draconian Staff,高等德肯尼亞族法杖,A staff of a Draconian mage. Boasts above average magic power.,德肯尼亞族法師之杖，擁有超凡的魔法攻擊力。
497,Dalan's Hood,達藍的兜帽,"Ivory hood of Dalan, the exalted High Elf.",高等精靈達藍的象牙兜帽。
498,Crimson Eye,緋紅之眼,A strange crimson eye imbued with even stranger crimson magic. Keeping this in your hand will slightly boost all stats.,
499,Spelunking Staff,洞穴探求者之杖,Staff of a lost dungeon explorer. It seems to have developed quite some power while resting deep within the land.,迷失的地城探險者所持有的法杖，長眠在地底時，它似乎已發展出相當強大的力量。
500,Ashen Staff,蒼白法杖,A pale staff granted to skilled Balor mages.,熟練的巴羅爾法師使用的蒼白法杖。
501,Bandit's Cloak,土匪的披風,Heavy cloak of a bandit. Offers mild defense against the elements.,土匪的厚重披風.對元素魔力有一點抗性.
502,Shadow Garb,影之皮甲,Dark armor of elite Balor rogues.,精銳巴羅爾暴徒的暗黑盔甲.
512,Twilightstone,暮光石,A hard obsidian stone that resembles an empty night sky.,類似於夜空的硬質黑曜石.
513,Avalon Ore,阿瓦隆礦石,A mighty alloy. It was used to craft Avalonian weapons and armor.,非凡的合金，可以用來製作阿瓦隆的武器及盔甲。
514,Avalon Helmet,阿瓦隆頭盔,Heavy armor of Avalon knights.,阿瓦隆騎士的重裝甲.
515,Coward's Cloak,懦夫披風,Cloak worn by Avalon assassins. Some say the great King Arthus had a secretive hobby.,阿瓦隆刺客所穿戴的披風.謠傳亞瑟王有一些神秘的癖好.
516,Pale Armor,淡白盔甲,Pale armor of elite Balor warriors.,巴羅爾戰士的淡白盔甲。
517,Avalon Leggings,阿瓦隆腿甲,Heavy armor of Avalon knights.,阿瓦隆騎士的重裝甲.
518,King's Boots,王之長靴,Formal attire of a King.,國王的正式服裝。
519,Ashen Boots,蒼白長靴,Pale attire of elite Balor mages.,精英巴羅爾法師的蒼白衣服。
520,Pale Helmet,淡白頭盔,Pale armor of elite Balor warriors.,巴羅爾戰士的淡白盔甲。
521,Balanced Epee,平衡銳劍,The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This epee is one of them.,劍術大師芬尼斯因身上背著無數的劍而聞名.這把西洋劍正是其中之一.
522,Ashen Robe,蒼白法袍,Pale attire of elite Balor mages.,精英巴羅爾法師的蒼白衣服。
523,Sala's Robe,莎拉的法袍,"Crimson robe of Sala, the High Elf.",高等精靈莎拉的赤紅長袍。
524,Balin's Right,巴林右刃,A heavy great sword carried in Sir Balin's right hand.  A blow from this blade can lower an opponent's attack power.,
525,Coward's Cowl,懦夫風帽,Headpiece worn by Avalon assassins. Some say the great King Arthus had a secretive hobby.,阿瓦隆刺客配戴的頭巾。謠傳亞瑟王有一些神秘的癖好。
526,Racul Blade,路卡爾之劍,"An evil blade wielded by Racul, King of vampires. Attacks with this weapon can slightly restore HP.",吸血鬼之王路卡爾的邪惡刀刃.用它攻擊能稍微回復生命值.
527,Lifeshaker,撼命者,"A terribly frightening axe, seemingly forged with the hardened bones of an odok undead. It has a great chance of stunning an opponent.",令人懼怕的斧頭，它是用亡骸的身軀所製成。攻擊有極大的機會造成暈眩效果。
528,King's Hood,國王的兜帽,Formal attire of a King.,國王的正式服裝。
529,Dracon Bow,德肯弓,"Bow of Dracon, the old Draconian king.",古老德肯尼亞王者之弓。
530,Dracon Sword,德肯劍,"Sword of Dracon, the old Draconian king.",古老的德肯尼亞王者之劍。
532,Rhongomiant,終焉聖槍,Great staff of Avalon court mages.,尊貴的阿瓦隆法師的法杖.
533,Band of Gods,眾神之戒,"A ring worn by the elemental Gods of old. Increases gold, orns, and experience earned.",古老元素神所穿戴的戒指，可以增加獲得的金幣、歐幣及經驗值。
534,Dark Elven Katana,暗黑精靈武士刀,A highly decorative weapon wielded by Dark Elven lords,
535,Ancient Jinn Staff,遠古神燈精靈法杖,Magical staff of a Jinn. This weapon may cause unexpected status effects.,神燈精靈的法杖.能造成無法預測的狀態異常.
536,Annwn Rapier,安溫刺劍,"Sparring sword of Gwyn, the former King of Annwn. This weapon can temporarily weaken opponents with ease.",前安溫國王葛溫的陪練劍，此武器可以暫時削弱對手。
537,Dokkalfar Garb,暗之精靈皮甲,Light armor of a Dokkalfar warrior.,暗之精靈戰士的輕裝甲.
538,Dokkalfar Hood,暗之精靈兜帽,Hood of a Dokkalfar mage.,暗之精靈法師的兜帽.
539,Dokkalfar Helmet,暗之精靈頭盔,Helmet of a Dokkalfar warrior.,暗之精靈戰士的頭盔.
540,Dokkalfar Staff,暗之精靈法杖,Great staff of a Dokkalfar mage.,暗之精靈法師強大的法杖.
541,Poison Dagger,毒匕首,"A simple dagger, encrusted in a thick poison.",塗滿毒藥的簡單匕首。
542,Dokkalfar Sword,暗之精靈劍,An ebony blade of a Dokkalfar warrior.,暗之精靈戰士的漆黑刀刃.
543,Dokkalfar Armor,暗之精靈盔甲,Chestplate of a Dokkalfar knight.,暗之精靈騎士的護胸.
544,Dokkalfar Robe,暗之精靈法袍,Robe of a Dokkalfar mage.,暗之精靈法師的法袍.
545,Dokkalfar Boots,暗之精靈長靴,Boots of a Dokkalfar warrior.,暗之精靈戰士的長靴.
546,Dokkalfar Cowl,暗之精靈風帽,Cowl of a Dokkalfar rogue.,暗之精靈俠盜的風帽.
547,Finesse Katana,芬尼斯武士刀,"The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This katana is his favourite, and can easy weaken an opponent.",
548,X Elixir,X 秘藥,Recovers 5000 health points and 5000 mana.,恢復 5000 生命值與 5000 魔力值。
549,Thorn,刺,Prickly blade of a woodland creature. It has a small chance to poison an opponent.,林中物種的帶刺刀刃.有小機率使對手中毒.
550,Vulcan's Longsword,瓦肯的長劍,"A seemingly flawless blade wielded by Vulcan, the Red Knight. Vulcan formed the Knights of Inferno to fight alongside the forces of Annwn.",
551,Thorns,荊棘,Prickly blades of a woodland creature. It has a small chance to poison an opponent.,林地物種的帶刺刀刃.有小機率使對手中毒.
552,Horror,恐懼杖,An incredibly dreadful staff forged of the remains of sunken travelers. It may cause fallen beasts to drop more items.,由溺死旅人的屍體變造而成的可怕法杖，可能會使墮落的野獸掉落更多的物品。
553,Viper Hood,蛇龍兜帽,An exotic hood made of guivre skin.,用蛇龍皮做成的兜帽.
554,Viper Armor,蛇龍盔甲,An exotic chest guard made of guivre skin.,用蛇龍皮做成的胸甲.
555,Viper Cowl,蛇龍風帽,An exotic cowl made of guivre skin.,用蛇龍皮做成的兜帽.
556,Viper Chestmail,蛇龍鎖鏈甲,An exotic chest guard made of guivre skin.,用蛇龍皮做成的胸甲.
557,Viper Mage's Boots,蛇龍法師的長靴,Exotic boots made of guivre skin.,用蛇龍皮做成的長靴.
558,Viper Helmet,蛇龍頭盔,An exotic helmet made of guivre skin.,用蛇龍皮做成的頭盔.
559,Viper Boots,蛇龍長靴,Exotic boots made of guivre skin.,用蛇龍皮做成的長靴.
560,Viper Robe,蛇龍法袍,An exotic robe made of guivre skin.,用蛇龍皮做成的法袍.
561,Viper Leggings,蛇龍腿甲,"Exotic, heavy leg armor made of guivre skin.",用蛇龍皮做成的厚重腿甲.
562,Kerberos Sword,刻耳柏洛斯之劍,"Mighty sword, representative of the relentless Kerberos.",代表無情刻耳柏洛斯的強力之劍。
563,Kerberos Hood,刻耳柏洛斯兜帽,A durable hood forged of the remains of the relentless Kerberos. It protects its wearer from becoming frozen.,用刻耳柏洛斯遺骸打造的耐用兜帽.穿上它能防止被冰凍.
564,Kerberos Staff,刻耳柏洛斯法杖,"Mighty staff, representative of the relentless Kerberos.",刻耳柏洛斯代表性的法杖.
565,Kerberos Claws,刻耳柏洛斯之爪,"Sharp, jagged blades forged of the mighty claws of Kerberos. They can cause an opponent to bleed or become frozen.",由刻耳柏洛斯那尖銳、強大、鋒利如刃的爪所製成。攻擊有機會造成流血及冰凍狀態。
566,Demeter's Staff,狄蜜特法杖,"The contorted staff of Demeter. Demeter created the Earthen Legion to restore and maintain balance to this world after the falling. Unfortunately, his fate came long before any notion of normality.",
567,Ogre Axe,食人魔之斧,A crude axe of an ogre.,食人魔的粗糙斧頭。
568,Dracon Staff,德肯法杖,"Staff of Dracon, the old Draconian king.",古老德肯尼亞王者之杖。
569,Sanguine Sword,血紅長劍,A simple sword wielded by kobold warriors.,地精戰士所持的劍.
570,Sanguine Staff,血紅法杖,A simple staff wielded by kobold mages.,地精法師持有的簡易法杖.
571,Kobold Armor,地精盔甲,Light armor of a kobold.,地精的輕裝甲.
572,Kobold Cloak,地精披風,A simple cloak worn by kobold mages.,地精法師穿戴的簡易披風。
573,Kobold Hood,地精兜帽,A simple hood worn by kobold mages.,地精法師穿的簡易兜帽.
574,Kobold Boots,地精長靴,Boots of a kobold.,地精的長靴.
575,Fairy's Ring,仙女戒指,An arcane ring often worn by a clurichaun. It increases both mana potential and dexterity.,小妖精穿戴的奧術戒指，它可以增加魔力值及敏捷。
576,Clurichaun Soul Blade,酒精靈靈魂之刃,Fabled ceremonial blade of a forgotten clurichaun. It has a good chance of poisoning an opponent.,被遺忘的惡作劇小妖的儀式刀。有高機率使對手中毒。
577,Naggeneen's Hat,納根因的帽子,"Headwear of the mischievous clurichaun, Naggeneen. It protects its wearer from both poison and toxicity.",淘氣妖精—納根因的頭飾，它可以保護穿戴者免疫中毒與劇毒。
578,War-mage Boots,戰法長靴,Some magic users are also skilled in combat. These are the boots of one.,有些法師也很擅長格鬥.這是他們的靴子.
579,War-mage Helmet,戰法頭盔,Some magic users are also skilled in combat. This is the helmet of one.,有些法師對格鬥也略知一二.這頭盔就是他們用的.
580,X Health Potion,X 生命藥水,Recovers 5000 health points.,回復5000生命值.
581,X Mana Potion,X 魔力藥水,Recovers 5000 mana.,回復5000魔力值。
582,Belt of Cerus,凱魯斯的腰帶,"Enchanted belt of Cerus, the untamed. It protects one from burning while granting additional HP.",桀驁金牛凱魯斯的附魔腰帶.能防止被燃燒並提升生命值.
583,Untamed Bull,桀驁公牛,"The powerful, fiery staff of Cerus, the untamed bull.",桀驁金牛凱魯斯的強力法杖.
584,Horned Helmet,尖角頭盔,"Helmet of Cerus, the untamed. It reduces the mana cost of skills or spells and is well suited for adornment.",桀驁金牛凱魯斯的頭盔. 能減少技能和魔法的魔力消耗並且很適合鑲嵌裝飾.
585,Horned Hood,有角的兜帽,"Hood of Cerus, the untamed. It reduces the mana cost of skills or spells and is well suited for adornment.",桀驁金牛凱魯斯的兜帽. 能減少技能和魔法的魔力消耗並且很適合鑲嵌裝飾.
586,Raging Bull,暴怒公牛,"The powerful, fiery axe of Cerus, the untamed. It has a good chance of stunning or burning an opponent.",
587,Fine Greatsword,精巧大劍,The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This greatsword is one of them.,劍術大師芬尼斯因身上背著無數的劍而聞名.這把大劍正是其中之一.
588,War-mage Armor,戰法盔甲,Some magic users are also skilled in combat. This is the armor of one.,有些魔法師也擅長格鬥.這就是他們的盔甲.
589,Mammon's Sword,瑪門之劍,"An ancient and decrepit blade carried by Mammon, the demon of hubris. It is of unknown use and is too worn to be used as any form of weapon.",傲慢的惡魔-瑪門持有的老舊刀刃.實在太破爛以至於不知道該怎麼當作武器使用.
590,Fallen Boots,墮落長靴,"Boots worn by rogues of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的俠盜所穿的長靴.
591,Fallen Cowl,墮落風帽,"Cowl worn by rogues of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的俠盜所戴的風帽.
592,Fallen Shoes,墮落鞋子,"Shoes worn by acolytes of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的追隨者所穿的鞋子.
593,Fallen Leggings,墮落腿甲,"Leggings worn by knights of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的騎士所穿的腿甲.
594,Fallen Robe,墮落法袍,"Robe worn by acolytes of Mammon, the demon of hubris.",傲慢的惡魔瑪門的追隨者所穿的法袍.
595,Fallen Armor,墮落盔甲,"Heavy armor worn by knights of Mammon, the demon of hubris.",所屬於傲慢的惡魔瑪門的騎士所穿的重裝甲.
596,Fallen Garb,墮落皮甲,"Light armor worn by rogues of Mammon, the demon of hubris.",所屬於傲慢的惡魔-瑪門的俠盜所穿的輕裝甲.
597,Fallen Hood,墮落兜帽,"Hood worn by acolytes of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的追隨者所穿的兜帽.
598,Fallen Helmet,墮落頭盔,"Helmet worm by knights of Mammon, the demon of hubris.",
599,Realm Ore,域界礦石,A strange dark and warm ore refined by Balor mystics. It is useful in upgrading equipment of the exiled.,巴羅爾秘術士精練的黑暗且溫暖的礦石，它可以用來升級流放者的裝備。
600,Incarnate Robe,化身法袍,"Mystical robe crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的神秘法袍.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
601,Realm Boots,域界長靴,"Light armor crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫的輕裝甲.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
602,Realm Garb,域界皮甲,"Light armor crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫的輕裝甲.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
603,Abyssal Axe,深淵之斧,"Heavy axe crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的巨斧.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
604,Incarnate Hood,化身兜帽,"Mystical hood crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的神秘兜帽.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
605,Abyssal Armor,深淵盔甲,"Heavy armor crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的重裝甲.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
606,Incarnate Boots,化身長靴,"Mystical boots crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的神秘長靴.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
607,Incarnate Archistaff,化身權杖,"Heavy archistaff crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的厚重權杖.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
